iter	RMSE
0	339825.0883
1	325931.2508
2	313347.9477
3	301817.8886
4	291144.7242
5	281153.0572
6	271568.477
7	262576.0039
8	254520.3083
9	246447.3248
10	239403.2786
11	232586.0047
12	226643.654
13	220718.3344
14	215234.3261
15	209719.0441
16	204924.5186
17	200027.2498
18	195778.2079
19	191487.529
20	187542.6494
21	184102.101
22	180793.9609
23	177418.4616
24	174623.2302
25	171626.5359
26	169312.9701
27	166896.3536
28	164332.6229
29	162269.0479
30	160308.5283
31	158291.9316
32	156588.9502
33	154991.0713
34	153103.5083
35	151641.7456
36	150379.0037
37	148994.188
38	147900.1832
39	146961.5098
40	145932.5888
41	144838.8487
42	143535.6402
43	142617.1536
44	141388.1971
45	140762.2873
46	140062.4445
47	139318.3966
48	138612.8691
49	137511.205
50	137023.6682
51	136009.8924
52	134845.6256
53	134355.0276
54	133713.0677
55	133307.2663
56	132820.3839
57	131605.9795
58	131145.1359
59	130586.4281
60	130194.4817
61	129725.0421
62	129375.9901
63	129015.7364
64	128660.0144
65	128367.1206
66	128061.2757
67	127676.1231
68	126793.772
69	126500.0288
70	126275.6962
71	126117.0241
72	125854.6422
73	125578.3412
74	125339.2115
75	124594.7145
76	124378.1164
77	124146.6349
78	123778.5754
79	123522.7824
80	123386.5922
81	123162.6024
82	122958.6267
83	122708.275
84	122492.3756
85	122306.9549
86	122025.1196
87	121794.6684
88	121453.6476
89	121203.9317
90	120883.7804
91	120633.6084
92	120470.6648
93	120324.1157
94	120177.1444
95	119505.1316
96	119001.663
97	118787.2047
98	118354.6195
99	118217.1747
100	118044.6355
101	117835.8533
102	117698.5216
103	117516.9159
104	117286.2174
105	117098.3766
106	116584.2204
107	116389.6144
108	116104.2729
109	115845.6073
110	115540.8614
111	115073.1789
112	114828.8803
113	114654.6642
114	114499.0563
115	114226.7036
116	114056.689
117	113831.0002
118	113648.0812
119	113503.5438
120	113290.0812
121	113086.1612
122	112914.8648
123	112774.3222
124	112653.2708
125	112502.289
126	112179.6138
127	111994.8657
128	111841.2007
129	111731.6748
130	111634.6642
131	111492.2994
132	111375.7378
133	111262.6925
134	111175.24
135	111035.6679
136	110925.0185
137	110815.4916
138	110719.8191
139	110593.6952
140	110505.1127
141	110408.9932
142	110304.2005
143	110217.0687
144	110129.6301
145	109985.1737
146	109880.3077
147	109717.9834
148	109618.8596
149	109505.9834
150	109424.714
151	109322.1232
152	109197.1066
153	109083.668
154	108951.0988
155	108811.8856
156	108740.7965
157	108409.9326
158	108239.5911
159	108121.8231
160	108025.9654
161	107924.3252
162	107704.0205
163	107608.7664
164	107299.8869
165	107178.0307
166	107017.1299
167	106921.9994
168	106845.0948
169	106706.8726
170	106539.4772
171	106424.6597
172	106312.4081
173	106249.8732
174	106086.253
175	105978.9589
176	105901.2041
177	105804.8256
178	105652.9181
179	105528.1276
180	105454.148
181	105352.9964
182	105268.2844
183	105171.0964
184	105096.1384
185	104982.4472
186	104851.5871
187	104768.3109
188	104705.8754
189	104622.3267
190	104472.4798
191	104369.7296
192	104314.331
193	104228.5693
194	104074.0168
195	103959.3614
196	103784.8827
197	103708.4815
198	103617.2558
199	103556.3928
200	103455.4725
201	103212.1499
202	103137.0638
203	102979.3244
204	102858.7993
205	102774.8944
206	102649.6314
207	102599.6887
208	102509.8811
209	102460.492
210	102377.2619
211	102248.0434
212	102014.791
213	101949.2855
214	101838.6992
215	101778.1181
216	101674.2358
217	101555.4972
218	101478.6751
219	101375.1654
220	101245.5749
221	101136.1039
222	101040.271
223	100951.4218
224	100833.3484
225	100758.2651
226	100694.4911
227	100612.454
228	100553.074
229	100499.6192
230	100381.2204
231	100295.7857
232	100193.5382
233	100135.1739
234	100075.6612
235	100011.3168
236	99938.7655
237	99799.55631
238	99722.96008
239	99674.92194
240	99520.32589
241	99476.83917
242	99371.7532
243	99294.17167
244	99240.38695
245	99161.62738
246	99052.1881
247	98985.27307
248	98922.6516
249	98841.36985
250	98652.4288
251	98603.28643
252	98489.22651
253	98432.82555
254	98272.09607
255	98221.32435
256	98164.1208
257	98108.72781
258	98039.00256
259	97957.56553
260	97901.92212
261	97811.09145
262	97746.70933
263	97632.31207
264	97546.61454
265	97450.21693
266	97405.43362
267	97347.01082
268	97269.18465
269	97152.97958
270	97093.52523
271	96918.87883
272	96869.04184
273	96821.60878
274	96726.32668
275	96681.89913
276	96633.91743
277	96535.95326
278	96484.76536
279	96301.49005
280	96216.28706
281	96178.15015
282	96078.1955
283	95946.58281
284	95870.23559
285	95788.60877
286	95737.44876
287	95669.78571
288	95518.44971
289	95372.14658
290	95302.22978
291	95264.43182
292	95188.472
293	95077.29105
294	94958.14469
295	94855.5387
296	94790.32554
297	94694.62767
298	94598.08861
299	94514.04623
300	94455.85654
301	94413.0044
302	94364.24589
303	94312.73673
304	94261.79561
305	94204.82195
306	94162.93271
307	94102.49097
308	94047.0557
309	93948.95807
310	93871.45469
311	93831.01459
312	93775.00273
313	93744.99468
314	93608.75579
315	93551.11409
316	93514.71481
317	93419.57084
318	93380.86246
319	93323.83573
320	93217.72739
321	93158.30628
322	93076.97841
323	93032.71955
324	92986.60963
325	92950.47221
326	92860.97747
327	92782.31507
328	92722.11291
329	92668.72898
330	92611.43945
331	92537.33972
332	92462.48993
333	92423.56508
334	92361.71238
335	92296.9275
336	92239.50697
337	92187.94665
338	92107.17971
339	92068.27228
340	92003.72962
341	91946.97265
342	91879.35399
343	91837.31738
344	91785.54812
345	91722.62152
346	91683.71328
347	91649.67847
